date,val
2005-07-01,32242732
2005-10-01,32353311
2006-01-01,32394909
2006-04-01,32470171
2006-07-01,32571193
2006-10-01,32680839
2007-01-01,32717848
2007-04-01,32785964
2007-07-01,32888886
2007-10-01,33001918
2008-01-01,33050262
2008-04-01,33127394
2008-07-01,33247298
2008-10-01,33372978
2009-01-01,33427754
2009-04-01,33512305
2009-07-01,33630069
2009-10-01,33758581
2010-01-01,33809016
2010-04-01,33890461
2010-07-01,34005902
2010-10-01,34132531
2011-01-01,34166633
2011-04-01,34230555
2011-07-01,34339221
2011-10-01,34457713
2012-01-01,34516032
2012-04-01,34592192
2012-07-01,34713395
2012-10-01,34834973
2013-01-01,34881794
2013-04-01,34956567
2013-07-01,35080992
2013-10-01,35209597
2014-01-01,35247023
2014-04-01,35320540
2014-07-01,35434066
2014-10-01,35555305
2015-01-01,35571043
2015-04-01,35606734
2015-07-01,35704498
2015-10-01,35823591
2016-01-01,35871484
2016-04-01,35970407
2016-07-01,36110803
2016-10-01,36257421
2017-01-01,36313068
2017-04-01,36397141
2017-07-01,36545075
2017-10-01,36722075
2018-01-01,36801579
2018-04-01,36903671
2018-07-01,37072620
2018-10-01,37259485
2019-01-01,37336956
2019-04-01,37437243
2019-07-01,37618495
2019-10-01,37828162
2020-01-01,37928208
2020-04-01,38006941
2020-07-01,38028638
2020-10-01,38027406
2021-01-01,38058291
2021-04-01,38140918
2021-07-01,38239864
2021-10-01,38460257
2022-01-01,38565380
2022-04-01,38693009
2022-07-01,38950132
2022-10-01,39284491
2023-01-01,39501329
2023-04-01,39727297
2023-07-01,40049088
2023-10-01,40467722
2024-01-01,40724526
2024-04-01,40990297
2024-07-01,41262329
2024-10-01,41494132
2025-01-01,41574517
2025-04-01,41604555
2025-07-01,41651653
2025-10-01,41575585
2026-01-01,41472081
